"","X","date_observed","genus","species","id","leaf_breaking_bud_observed","leaf_breaking_bud_intensity","leaf_observed","leaf_intensity","leaf_increasing_size_observed","leaf_increasing_size_intensity","leaf_color_observed","leaf_color_intensity","leaf_falling_observed","flower_buds_observed","flower_buds_intensity","flower_open_observed","flower_open_intensity","fruit_observed","fruit_intensity","fruit_ripe_observed","fruit_ripe_intensity","fruit_drop_observed","fruit_drop_intensity","notes_observer","notes_entry","month","date"
"1",1,"3/8/2017","Acer","x freemanii","321-56*3",0,"0",0,"0",0,"0",0,"0",0,1,"11-100",1,"0",0,"0",0,"0",0,"0","0","0",3,8
"2",2,"3/9/2017","Quercus","acutissima","644-33*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,9
"3",3,"3/9/2017","Quercus","acutissima","644-33*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,9
"4",4,"3/9/2017","Quercus","bicolor","135-U*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,9
"5",5,"3/9/2017","Quercus","coccinea","1173-2004*4",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,9
"6",6,"3/9/2017","Quercus","coccinea","1173-2004*5",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,9
"7",7,"3/9/2017","Quercus","coccinea","435-2004*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,9
"8",8,"3/9/2017","Quercus","ellipsoidalis","204-92*4",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,9
"9",9,"3/9/2017","Quercus","ellipsoidalis","437-2004*3",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,9
"10",10,"3/9/2017","Quercus","georgiana","49-2002*3",0,"0",0,"0",0,"0",0,"0",0,1,"11-100",1,"0",0,"0",0,"0",0,"0","Female flowers","0",3,9
"11",11,"3/9/2017","Quercus","georgiana","49-2002*4",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,9
"12",12,"3/9/2017","Quercus","georgiana","49-2002*5",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,9
"13",13,"3/9/2017","Quercus","imbricaria","1183-2004*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,9
"14",14,"3/9/2017","Quercus","imbricaria","1512-35*2",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","No low branches - difficult to be certain","0",3,9
"15",15,"3/9/2017","Quercus","lobata","526-2000*4",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,9
"16",16,"3/9/2017","Quercus","lyrata","179-95*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,9
"17",17,"3/9/2017","Quercus","lyrata","517-2000*2",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,9
"18",18,"3/9/2017","Quercus","macrocarpa","2390-26*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,9
"19",19,"3/9/2017","Quercus","macrocarpa","597-2001*2",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,9
"20",20,"3/9/2017","Quercus","macrocarpa","696-2006*8",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,9
"21",21,"3/9/2017","Quercus","marilandica","1134-2004*5",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,9
