site,date_observed,genus,species,id,leaf_breaking_bud_observed,leaf_breaking_bud_intensity,leaf_observed,leaf_intensity,leaf_iNocreasiNog_size_observed,leaf_increasing_size_intensity,leaf_color_observed,leaf_color_intensity,leaf_falliNog_observed,flower_buds_observed,flower_buds_intensity,flower_opeNo_observed,flower_open_intensity,flower_pollen_release_observed,flower_pollen_release_intensity,fruit_observed,fruit_intensity,fruit_ripe_observed,fruit_ripe_intensity,fruit_drop_observed,fruit_drop_intensity,notes_observer,notes_entry,year,num_records
Oak Collection,3/8/2017,Acer,x freemanii,321-56*3,N,0,No,0,No,0,No,0,No,Yes,11-100,Yes,,Y,,No,0,No,0,No,0,,,2017,1
Oak Collection,3/9/2017,Quercus,acutissima,644-33*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,2
Oak Collection,3/9/2017,Quercus,acutissima,644-33*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,3
Oak Collection,3/9/2017,Quercus,bicolor,135-U*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,4
Oak Collection,3/9/2017,Quercus,coccinea,1173-2004*4,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,5
Oak Collection,3/9/2017,Quercus,coccinea,1173-2004*5,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,6
Oak Collection,3/9/2017,Quercus,coccinea,435-2004*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,7
Oak Collection,3/9/2017,Quercus,ellipsoidalis,204-92*4,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,8
Oak Collection,3/9/2017,Quercus,ellipsoidalis,437-2004*3,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,9
Oak Collection,3/9/2017,Quercus,georgiana,49-2002*3,N,0,No,0,No,0,No,0,No,Yes,11-100,Yes,,N,none,No,0,No,0,No,0,Female flowers,,2017,10
Oak Collection,3/9/2017,Quercus,georgiana,49-2002*4,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,11
Oak Collection,3/9/2017,Quercus,georgiana,49-2002*5,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,12
Oak Collection,3/9/2017,Quercus,imbricaria,1183-2004*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,13
Oak Collection,3/9/2017,Quercus,imbricaria,1512-35*2,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,No low branches - difficult to be certain,,2017,14
Oak Collection,3/9/2017,Quercus,lobata,526-2000*4,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,15
Oak Collection,3/9/2017,Quercus,lyrata,179-95*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,16
Oak Collection,3/9/2017,Quercus,lyrata,517-2000*2,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,17
Oak Collection,3/9/2017,Quercus,macrocarpa,2390-26*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,18
Oak Collection,3/9/2017,Quercus,macrocarpa,597-2001*2,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,19
Oak Collection,3/9/2017,Quercus,macrocarpa,696-2006*8,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,20
Oak Collection,3/9/2017,Quercus,marilandica,1134-2004*5,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,21
Oak Collection,3/9/2017,Quercus,michauxii,645-48*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,22
Oak Collection,3/9/2017,Quercus,montana,602-2000*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,23
Oak Collection,3/9/2017,Quercus,montana,606-2000*4,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,24
Oak Collection,3/9/2017,Quercus,muehlenbergii,215-91*2,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,25
Oak Collection,3/9/2017,Quercus,muehlenbergii,704-46*2,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,26
Oak Collection,3/9/2017,Quercus,muehlenbergii,704-46*3,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,27
Oak Collection,3/9/2017,Quercus,palustris,1164-22*6,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,28
Oak Collection,3/9/2017,Quercus,palustris,573-40*7,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,29
Oak Collection,3/9/2017,Quercus,palustris,77-72*1,N,0,No,0,No,0,No,0,No,Yes,11-100,Yes,,N,none,No,0,No,0,No,0,Female flowers,,2017,30
Oak Collection,3/9/2017,Quercus,petraea,258-2004*3,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,31
Oak Collection,3/9/2017,Quercus,petraea,498-2005*3,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,32
Oak Collection,3/9/2017,Quercus,phellos,109-74*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,33
Oak Collection,3/9/2017,Quercus,pyrenaica,200-99*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,34
Oak Collection,3/9/2017,Quercus,robur,21-2012*2,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,35
Oak Collection,3/9/2017,Quercus,rubra,64-92*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,36
Oak Collection,3/9/2017,Quercus,shumardii,10-2008*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,37
Oak Collection,3/9/2017,Quercus,shumardii,1513-35*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,38
Oak Collection,3/9/2017,Quercus,shumardii,575-40*2,N,0,No,0,No,0,No,0,No,Yes,101-1000,Yes,,N,none,No,0,No,0,No,0,Female flowers,,2017,39
Oak Collection,3/9/2017,Acer,x freemanii,321-56*3,N,0,No,0,No,0,No,0,No,Yes,,Yes,,Y,,No,0,No,0,No,0,,,2017,40
Oak Collection,3/10/2017,Quercus,alba,134-U*60,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,41
Oak Collection,3/10/2017,Quercus,alba,304-94*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,42
Oak Collection,3/10/2017,Quercus,alba,684-33*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,43
Oak Collection,3/10/2017,Quercus,bicolor,214-91*2,N,0,No,0,No,0,No,0,No,Yes,,Yes,,N,none,No,0,No,0,No,0,,,2017,44
Oak Collection,3/10/2017,Quercus,bicolor,214-91*3,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,45
Oak Collection,3/10/2017,Quercus,dalechampii,286-97*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,Slight bud swell,,2017,46
Oak Collection,3/10/2017,Quercus,dalechampii,286-97*2,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,47
Oak Collection,3/10/2017,Quercus,ellipsoidalis,204-92*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,48
Oak Collection,3/10/2017,Quercus,gambelii,145-75*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,49
Oak Collection,3/10/2017,Quercus,gambelii,145-75*2,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,50
Oak Collection,3/10/2017,Quercus,gambelii,145-75*8,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,51
Oak Collection,3/10/2017,Quercus,hartwissiana,27-95*3,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,52
Oak Collection,3/10/2017,Quercus,hartwissiana,27-95*5,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,53
Oak Collection,3/10/2017,Quercus,ilicifolia,260-93*1,N,0,No,0,No,0,No,0,No,Yes,1001-10000,Yes,,Y,,No,0,No,0,No,0,Looks like exposed flower parts have frost damage,,2017,54
Oak Collection,3/10/2017,Quercus,ilicifolia,260-93*2,N,0,No,0,No,0,No,0,No,Yes,1001-10000,Yes,,Y,,No,0,No,0,No,0,Flowers open but dry and looks like they have frost damage,,2017,55
Oak Collection,3/10/2017,Quercus,imbricaria,523-32*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,56
